,freq
"('먹다', '해')",3
"('재', '짜지다')",3
"('고기', '짜지다')",3
"('먹다', '싶다')",3
"('반찬', '집')",3
"('무', '장아찌')",3
"('두통', '맛있다')",3
"('잠', '장아찌')",3
"('구입', '먹다')",2
"('궁채', '많다')",2
"('만들다', '살짝')",2
"('고기', '좋아하다')",2
"('감사하다', '저렴하다')",2
"('아프다', '엄마')",2
"('김밥', '사서')",2
"('먹다', '주먹밥')",2
"('빠르다', '저렴하다')",2
"('맛', '재주')",2
"('보내다', '부모님')",2
"('금방', '식감')",2
"('가다', '맛')",2
"('맛', '친구')",2
"('궁채', '적당하다')",2
"('먹다', '분')",2
"('만들다', '보다')",2
"('궁채', '만들다')",2
"('개운하다', '금방')",2
"('먹다', '박스')",2
"('개운하다', '통')",2
"('먹다', '입안')",2
"('박스', '없다')",2
"('먹다', '편')",2
"('궁채', '보내다')",2
"('금방', '통')",2
"('고기', '금방')",2
"('배송', '저렴하다')",2
"('금방', '없다')",2
"('곳', '좋아하다')",2
"('구입', '저렴하다')",2
"('감사하다', '주문')",2
"('테이프', '포장')",2
"('고기랑', '깔끔하다')",2
"('재', '추천')",2
"('물', '살짝')",2
"('맛있다', '봣')",2
"('오다', '포장')",2
"('굿굿', '후기')",2
"('물', '짜다')",2
"('담그다', '물')",2
"('먹다', '사장')",2
"('맛있다', '시지')",2
"('맛있다', '정도')",2
"('개인', '담그다')",2
"('식구', '좋아하다')",2
"('고기랑', '정말')",2
"('살짝', '짜다')",2
"('가격', '저렴하다')",2
"('자다', '정말')",2
"('담그다', '맛있다')",2
"('가다', '오다')",2
"('보내다', '후기')",2
"('간장', '맛')",2
"('엄마', '포장')",2
"('보고', '사서')",2
"('굿굿', '맛')",2
"('식감', '씹다')",2
"('식감', '아니다')",2
"('만족하다', '맛')",2
"('무', '좋아하다')",2
"('식감', '초석')",2
"('진짜', '통')",2
"('먹다', '엉망')",2
"('사다', '진짜')",2
"('아니다', '제품')",2
"('수제', '장아찌')",2
"('궁채', '병')",2
"('넉넉하다', '주문')",2
"('단양', '주문')",2
"('간장', '궁채')",2
"('주문', '해드리다')",2
"('맛', '추천')",2
"('반찬', '주문')",2
"('구매', '해보다')",2
"('돼다', '먹다')",2
"('먹다', '해보다')",2
"('배송', '없다')",2
"('감사하다', '친정')",2
"('구매', '친구')",2
"('먹다', '생각나다')",2
"('궁채', '담')",2
"('두번째', '배송')",2
"('주문', '지인')",2
"('먹다', '중국산')",2
"('궁채', '남다')",2
"('두번째', '빠르다')",2
"('개운하다', '분')",2
"('궁채', '후기')",2
"('깔끔하다', '보다')",2
"('구입', '두번째')",2
"('구매', '통')",2
"('없다', '오다')",2
"('담다', '집')",2
"('보내다', '집')",2
"('먹다', '보구')",2
"('수제', '시장')",2
"('궁채', '수제')",2
"('먹다', '친구')",2
"('궁채', '싶다')",2
"('없다', '통')",2
"('고기', '사다')",2
"('사다', '없다')",2
"('궁채', '사다')",2
"('먹다', '상태')",2
"('먹다', '이렇다')",2
"('자다', '통')",2
"('궁채', '사장')",2
"('사다', '자다')",2
"('자다', '장아찌')",2
"('잇다', '주문')",2
"('엉망', '테이프')",2
"('잇다', '재')",2
"('유리', '절임')",2
"('궁채', '절임')",2
"('시장', '절임')",2
"('상태', '엉망')",2
"('장아찌', '절임')",2
"('수제', '절임')",2
"('맛있다', '엉망')",2
"('집', '추가')",2
"('배송', '엉망')",2
"('단무지', '아주')",2
"('수제', '유리')",2
"('병', '집')",2
"('맛', '무')",2
"('식감', '하니')",2
"('사장', '좋아하다')",2
"('라이스', '슬')",2
"('남자친구', '맛있다')",2
"('많다', '유리')",2
"('보다', '유리')",2
"('맛', '맵다')",2
"('라이스', '맛있다')",2
"('동생', '맛있다')",2
"('늘다', '사람')",2
"('먹다', '번창')",2
"('라이스', '마늘')",2
